node,degree
imgt:mAb_1093,7
imgt:mAb_1119,7
imgt:mAb_1120,7
imgt:mAb_1143,7
imgt:mAb_1153,7
imgt:mAb_1157,7
imgt:mAb_1161,7
imgt:mAb_1182,7
imgt:mAb_1183,7
imgt:mAb_119,7
imgt:mAb_1192,7
imgt:mAb_1200,7
imgt:mAb_1202,7
imgt:mAb_1236,7
imgt:mAb_1239,7
imgt:mAb_1249,7
imgt:mAb_1281,7
imgt:mAb_1355,7
imgt:mAb_1367,7
imgt:mAb_1369,7
imgt:mAb_1370,7
imgt:mAb_1371,7
imgt:mAb_1372,7
imgt:mAb_1380,7
imgt:mAb_1388,7
imgt:mAb_142,7
imgt:mAb_1492,7
imgt:mAb_150,7
imgt:mAb_1585,7
imgt:mAb_196,7
imgt:mAb_2,7
imgt:mAb_218,7
imgt:mAb_220,7
imgt:mAb_221,7
imgt:mAb_222,7
imgt:mAb_249,7
imgt:mAb_255,7
imgt:mAb_259,7
imgt:mAb_314,7
imgt:mAb_324,7
imgt:mAb_359,7
imgt:mAb_366,7
imgt:mAb_372,7
imgt:mAb_476,7
imgt:mAb_488,7
imgt:mAb_490,7
imgt:mAb_52,7
imgt:mAb_522,7
imgt:mAb_53,7
imgt:mAb_545,7
imgt:mAb_553,7
imgt:mAb_562,7
imgt:mAb_568,7
imgt:mAb_58,7
imgt:mAb_597,7
imgt:mAb_602,7
imgt:mAb_640,7
imgt:mAb_679,7
imgt:mAb_757,7
imgt:mAb_760,7
imgt:mAb_776,7
imgt:mAb_781,7
imgt:mAb_838,7
imgt:mAb_845,7
imgt:mAb_847,7
imgt:mAb_849,7
imgt:mAb_863,7
imgt:mAb_873,7
imgt:mAb_882,7
imgt:mAb_936,7
imgt:mAb_937,7
imgt:mAb_955,7
imgt:mAb_967,7
imgt:mAb_968,7
imgt:mAb_969,7
imgt:mAb_98,7
imgt:mAb_982,7
imgt:maytansinoid_DM4,7
imgt:tumour_associated_glycoprotein_72,7
HGNC:11773,6
HGNC:17087,6
HGNC:5432,6
HGNC:5433,6
HGNC:5977,6
HGNC:7371,6
imgt:ADC_Therapeutics,6
imgt:Biogen_Inc,6
imgt:Cancers_blood,6
imgt:Cancers_rectal,6
imgt:Celgene_corporation,6
imgt:Construct_100,6
imgt:Construct_1000,6
imgt:Construct_1002,6
imgt:Construct_1003,6
imgt:Construct_1004,6
imgt:Construct_1005,6
imgt:Construct_1006,6
imgt:Construct_1007,6
imgt:Construct_1009,6
imgt:Construct_101,6
imgt:Construct_1010,6
imgt:Construct_1011,6
imgt:Construct_1012,6
imgt:Construct_1013,6
imgt:Construct_1014,6
imgt:Construct_1017,6
imgt:Construct_1019,6
imgt:Construct_1022,6
imgt:Construct_1023,6
imgt:Construct_1024,6
imgt:Construct_1025,6
imgt:Construct_1026,6
imgt:Construct_1028,6
imgt:Construct_1029,6
imgt:Construct_1030,6
imgt:Construct_1031,6
imgt:Construct_1032,6
imgt:Construct_1035,6
imgt:Construct_1036,6
imgt:Construct_1037,6
imgt:Construct_1039,6
imgt:Construct_1040,6
imgt:Construct_1041,6
imgt:Construct_1042,6
imgt:Construct_1049,6
imgt:Construct_1054,6
imgt:Construct_1055,6
imgt:Construct_1056,6
imgt:Construct_1057,6
imgt:Construct_1058,6
imgt:Construct_1059,6
imgt:Construct_1062,6
imgt:Construct_1065,6
imgt:Construct_1066,6
imgt:Construct_1067,6
imgt:Construct_1071,6
imgt:Construct_1072,6
imgt:Construct_1073,6
imgt:Construct_1074,6
imgt:Construct_1075,6
imgt:Construct_1076,6
imgt:Construct_1077,6
imgt:Construct_1079,6
imgt:Construct_1080,6
imgt:Construct_1081,6
imgt:Construct_1082,6
imgt:Construct_1083,6
imgt:Construct_1084,6
imgt:Construct_1085,6
imgt:Construct_1088,6
imgt:Construct_1090,6
imgt:Construct_1093,6
imgt:Construct_1095,6
imgt:Construct_11,6
imgt:Construct_1102,6
imgt:Construct_1103,6
imgt:Construct_111,6
imgt:Construct_1112,6
imgt:Construct_1119,6
imgt:Construct_1120,6
imgt:Construct_1122,6
imgt:Construct_1123,6
imgt:Construct_1125,6
imgt:Construct_1127,6
imgt:Construct_1128,6
imgt:Construct_1131,6
imgt:Construct_1134,6
imgt:Construct_1138,6
imgt:Construct_1139,6
imgt:Construct_1142,6
imgt:Construct_1143,6
imgt:Construct_1146,6
imgt:Construct_1150,6
imgt:Construct_1152,6
imgt:Construct_1153,6
imgt:Construct_1154,6
imgt:Construct_1155,6
imgt:Construct_1157,6
imgt:Construct_1159,6
imgt:Construct_1160,6
imgt:Construct_1161,6
imgt:Construct_1167,6
imgt:Construct_1170,6
imgt:Construct_1171,6
imgt:Construct_1172,6
imgt:Construct_1173,6
imgt:Construct_1174,6
imgt:Construct_1176,6
imgt:Construct_1177,6
imgt:Construct_1179,6
imgt:Construct_1181,6
imgt:Construct_1182,6
imgt:Construct_1183,6
imgt:Construct_1184,6
imgt:Construct_1187,6
imgt:Construct_1189,6
imgt:Construct_119,6
imgt:Construct_1192,6
imgt:Construct_1194,6
imgt:Construct_1197,6
imgt:Construct_1200,6
imgt:Construct_1202,6
imgt:Construct_1203,6
imgt:Construct_1204,6
imgt:Construct_1206,6
imgt:Construct_1207,6
imgt:Construct_1208,6
imgt:Construct_1211,6
imgt:Construct_1212,6
imgt:Construct_1224,6
imgt:Construct_1225,6
imgt:Construct_1229,6
imgt:Construct_1230,6
imgt:Construct_1231,6
imgt:Construct_1232,6
imgt:Construct_1233,6
imgt:Construct_1234,6
imgt:Construct_1236,6
imgt:Construct_1239,6
imgt:Construct_1240,6
imgt:Construct_1243,6
imgt:Construct_1246,6
imgt:Construct_1248,6
imgt:Construct_1249,6
imgt:Construct_1256,6
imgt:Construct_1257,6
imgt:Construct_1259,6
imgt:Construct_1262,6
imgt:Construct_1263,6
imgt:Construct_1265,6
imgt:Construct_1266,6
imgt:Construct_1268,6
imgt:Construct_1269,6
imgt:Construct_1272,6
imgt:Construct_1273,6
imgt:Construct_1274,6
imgt:Construct_1276,6
imgt:Construct_1278,6
imgt:Construct_1281,6
imgt:Construct_1285,6
imgt:Construct_1287,6
imgt:Construct_1289,6
imgt:Construct_1296,6
imgt:Construct_1297,6
imgt:Construct_1299,6
imgt:Construct_1307,6
imgt:Construct_1308,6
imgt:Construct_1311,6
imgt:Construct_1313,6
imgt:Construct_1315,6
imgt:Construct_1317,6
imgt:Construct_1321,6
imgt:Construct_1325,6
imgt:Construct_1328,6
imgt:Construct_1330,6
imgt:Construct_1336,6
imgt:Construct_1337,6
imgt:Construct_1338,6
imgt:Construct_1339,6
imgt:Construct_1340,6
imgt:Construct_1342,6
imgt:Construct_1344,6
imgt:Construct_1346,6
imgt:Construct_1347,6
imgt:Construct_135,6
imgt:Construct_1350,6
imgt:Construct_1354,6
imgt:Construct_1355,6
imgt:Construct_1356,6
imgt:Construct_1359,6
imgt:Construct_1361,6
imgt:Construct_1362,6
imgt:Construct_1364,6
imgt:Construct_1365,6
imgt:Construct_1366,6
imgt:Construct_1367,6
imgt:Construct_1368,6
imgt:Construct_1369,6
imgt:Construct_1370,6
imgt:Construct_1371,6
imgt:Construct_1372,6
imgt:Construct_1373,6
imgt:Construct_138,6
imgt:Construct_1383,6
imgt:Construct_1384,6
imgt:Construct_1385,6
imgt:Construct_1388,6
imgt:Construct_1394,6
imgt:Construct_1399,6
imgt:Construct_1411,6
imgt:Construct_1418,6
imgt:Construct_142,6
imgt:Construct_143,6
imgt:Construct_1477,6
imgt:Construct_149,6
imgt:Construct_1492,6
imgt:Construct_151,6
imgt:Construct_154,6
imgt:Construct_158,6
imgt:Construct_161,6
imgt:Construct_164,6
imgt:Construct_168,6
imgt:Construct_176,6
imgt:Construct_18,6
imgt:Construct_180,6
imgt:Construct_183,6
imgt:Construct_194,6
imgt:Construct_196,6
imgt:Construct_198,6
imgt:Construct_200,6
imgt:Construct_21,6
imgt:Construct_224,6
imgt:Construct_225,6
imgt:Construct_226,6
imgt:Construct_228,6
imgt:Construct_229,6
imgt:Construct_232,6
imgt:Construct_233,6
imgt:Construct_234,6
imgt:Construct_236,6
imgt:Construct_237,6
imgt:Construct_238,6
imgt:Construct_24,6
imgt:Construct_240,6
imgt:Construct_248,6
imgt:Construct_249,6
imgt:Construct_250,6
imgt:Construct_254,6
imgt:Construct_255,6
imgt:Construct_259,6
imgt:Construct_270,6
imgt:Construct_274,6
imgt:Construct_276,6
imgt:Construct_290,6
imgt:Construct_291,6
imgt:Construct_292,6
imgt:Construct_293,6
imgt:Construct_294,6
imgt:Construct_295,6
imgt:Construct_296,6
imgt:Construct_297,6
imgt:Construct_301,6
imgt:Construct_302,6
imgt:Construct_321,6
imgt:Construct_324,6
imgt:Construct_328,6
imgt:Construct_329,6
imgt:Construct_332,6
imgt:Construct_333,6
imgt:Construct_348,6
imgt:Construct_349,6
imgt:Construct_352,6
imgt:Construct_356,6
imgt:Construct_357,6
imgt:Construct_359,6
imgt:Construct_360,6
imgt:Construct_365,6
imgt:Construct_366,6
imgt:Construct_368,6
imgt:Construct_370,6
imgt:Construct_372,6
imgt:Construct_373,6
imgt:Construct_374,6
imgt:Construct_379,6
imgt:Construct_381,6
imgt:Construct_385,6
imgt:Construct_387,6
imgt:Construct_389,6
imgt:Construct_40,6
imgt:Construct_403,6
imgt:Construct_405,6
imgt:Construct_407,6
imgt:Construct_414,6
imgt:Construct_415,6
imgt:Construct_416,6
imgt:Construct_417,6
imgt:Construct_419,6
imgt:Construct_420,6
imgt:Construct_423,6
imgt:Construct_424,6
imgt:Construct_425,6
imgt:Construct_427,6
imgt:Construct_430,6
imgt:Construct_431,6
imgt:Construct_432,6
imgt:Construct_433,6
imgt:Construct_44,6
imgt:Construct_451,6
imgt:Construct_452,6
imgt:Construct_453,6
imgt:Construct_455,6
imgt:Construct_457,6
imgt:Construct_458,6
imgt:Construct_464,6
imgt:Construct_466,6
imgt:Construct_467,6
imgt:Construct_469,6
imgt:Construct_470,6
imgt:Construct_471,6
imgt:Construct_472,6
imgt:Construct_473,6
imgt:Construct_476,6
imgt:Construct_478,6
imgt:Construct_482,6
imgt:Construct_483,6
imgt:Construct_488,6
imgt:Construct_489,6
imgt:Construct_490,6
imgt:Construct_491,6
imgt:Construct_492,6
imgt:Construct_493,6
imgt:Construct_496,6
imgt:Construct_497,6
