mAb,Target,Indication
mAb_1172,!/hgnc_id/HGNC:17635,Carcinoma_urothelial
mAb_1172,!/hgnc_id/HGNC:17635,Cancer_cervix
mAb_1172,!/hgnc_id/HGNC:17635,Osteosarcoma
mAb_1173,!/hgnc_id/HGNC:1674,Cancers_ovarian
mAb_1173,!/hgnc_id/HGNC:15582,Cancers_ovarian
mAb_1174,!/hgnc_id/HGNC:26838,Cancers
mAb_1175,!/hgnc_id/HGNC:6012,
mAb_1176,PAUF,Cancers_pancreatic
mAb_1177,!/hgnc_id/HGNC:1666,Lymphoma_B_cell
mAb_1178,!/hgnc_id/HGNC:10513,AA_amyloidosis
mAb_1179,!/hgnc_id/HGNC:8760,Cancers
mAb_118,endotoxin,Gram-negative_sepsis
mAb_118,endotoxin,Septic_shock_MSS_(meningococcal_septic_shock)
mAb_1180,!/hgnc_id/HGNC:2439,Inflammatory_diseases
mAb_1180,!/hgnc_id/HGNC:2439,Localized_pustular_psoriasis_(palmoplantar_pustulosis)
mAb_1180,!/hgnc_id/HGNC:2439,Hidradenitis_suppurativa_(HS)
mAb_1181,!/hgnc_id/HGNC:11924,Solid_tumors
mAb_1181,!/hgnc_id/HGNC:11919,Solid_tumors
mAb_1182,!/hgnc_id/HGNC:17635,Solid_tumors
mAb_1182,!/hgnc_id/HGNC:1682,Solid_tumors
mAb_1183,!/hgnc_id/HGNC:1674,Solid_tumors
mAb_1183,!/hgnc_id/HGNC:3788,Solid_tumors
mAb_1184,!/hgnc_id/HGNC:11766,Solid_tumors
mAb_1184,!/hgnc_id/HGNC:4161,Solid_tumors
mAb_1185,?term=Rabies+virus,Rabies_post-exposure
mAb_1186,?term=Rabies+virus,Rabies_post-exposure
mAb_1187,!/hgnc_id/HGNC:2891,Cancers_endometrial_(EC)
mAb_1187,!/hgnc_id/HGNC:2891,GE_Junction_Cancer
mAb_1187,!/hgnc_id/HGNC:2891,Cancers_prostate_metastatic
mAb_1187,!/hgnc_id/HGNC:2891,Cancer_hepatobiliary
mAb_1187,!/hgnc_id/HGNC:2891,Cancers_gastrointestinal
mAb_1188,!/hgnc_id/HGNC:12680,Age-related_macular_degeneration_(AMD)_neovascular_(wet)
mAb_1188,!/hgnc_id/HGNC:12680,Retinal_diseases
mAb_1189,!/hgnc_id/HGNC:8760,Solid_tumors
mAb_1189,!/hgnc_id/HGNC:2505,Solid_tumors
mAb_119,!/hgnc_id/HGNC:11529,Cancers_colon
mAb_1190,!/hgnc_id/HGNC:11138,Parkinsons_disease_(PD)
mAb_1191,!/hgnc_id/HGNC:30743,Asthma
mAb_1192,!/hgnc_id/HGNC:1674,GE_Junction_Cancer
mAb_1192,!/hgnc_id/HGNC:2039,GE_Junction_Cancer
mAb_1193,!/hgnc_id/HGNC:11918,Colitis_ulcerative_(UC)
mAb_1193,!/hgnc_id/HGNC:11918,Atopic_dermatitis_(AD)
mAb_1194,!/hgnc_id/HGNC:6307,Solid_tumors
mAb_1194,!/hgnc_id/HGNC:6307,GE_Junction_Cancer
mAb_1195,!/hgnc_id/HGNC:5981,Psoriasis
