entity,label,family,primary_type,coarse_category,explicit_types,embedding_strategy
PM12180492,PM12180492,PM12180492,PM12180492,PM12180492,,text_or_learned
PM12180493,PM12180493,PM12180493,PM12180493,PM12180493,,text_or_learned
PM12359774,PM12359774,PM12359774,PM12359774,PM12359774,,text_or_learned
PM1346155,PM1346155,PM1346155,PM1346155,PM1346155,,text_or_learned
PM1350088,PM1350088,PM1350088,PM1350088,PM1350088,,text_or_learned
PM14498766,PM14498766,PM14498766,PM14498766,PM14498766,,text_or_learned
PM14676105,PM14676105,PM14676105,PM14676105,PM14676105,,text_or_learned
PM15316127,PM15316127,PM15316127,PM15316127,PM15316127,,text_or_learned
PM16139892,PM16139892,PM16139892,PM16139892,PM16139892,,text_or_learned
PM16537476,PM16537476,PM16537476,PM16537476,PM16537476,,text_or_learned
PM1718599,PM1718599,PM1718599,PM1718599,PM1718599,,text_or_learned
PM17327609,PM17327609,PM17327609,PM17327609,PM17327609,,text_or_learned
PM1737932,PM1737932,PM1737932,PM1737932,PM1737932,,text_or_learned
PM1762576,PM1762576,PM1762576,PM1762576,PM1762576,,text_or_learned
PM1798701,PM1798701,PM1798701,PM1798701,PM1798701,,text_or_learned
PM18078997,PM18078997,PM18078997,PM18078997,PM18078997,,text_or_learned
PM18081533,PM18081533,PM18081533,PM18081533,PM18081533,,text_or_learned
PM18088084,PM18088084,PM18088084,PM18088084,PM18088084,,text_or_learned
PM1813210,PM1813210,PM1813210,PM1813210,PM1813210,,text_or_learned
PM18452610,PM18452610,PM18452610,PM18452610,PM18452610,,text_or_learned
PM18497318,PM18497318,PM18497318,PM18497318,PM18497318,,text_or_learned
PM19513947,PM19513947,PM19513947,PM19513947,PM19513947,,text_or_learned
PM19567914,PM19567914,PM19567914,PM19567914,PM19567914,,text_or_learned
PM20035694,PM20035694,PM20035694,PM20035694,PM20035694,,text_or_learned
PM21091110,PM21091110,PM21091110,PM21091110,PM21091110,,text_or_learned
PM21091310,PM21091310,PM21091310,PM21091310,PM21091310,,text_or_learned
PM21154168,PM21154168,PM21154168,PM21154168,PM21154168,,text_or_learned
PM21170091,PM21170091,PM21170091,PM21170091,PM21170091,,text_or_learned
PM21254342,PM21254342,PM21254342,PM21254342,PM21254342,,text_or_learned
PM21330330,PM21330330,PM21330330,PM21330330,PM21330330,,text_or_learned
PM22123061,PM22123061,PM22123061,PM22123061,PM22123061,,text_or_learned
PM23307031,PM23307031,PM23307031,PM23307031,PM23307031,,text_or_learned
PM24872026,PM24872026,PM24872026,PM24872026,PM24872026,,text_or_learned
PM24927856,PM24927856,PM24927856,PM24927856,PM24927856,,text_or_learned
PM25056108,PM25056108,PM25056108,PM25056108,PM25056108,,text_or_learned
PM25146490,PM25146490,PM25146490,PM25146490,PM25146490,,text_or_learned
PM25428504,PM25428504,PM25428504,PM25428504,PM25428504,,text_or_learned
PM25943534,PM25943534,PM25943534,PM25943534,PM25943534,,text_or_learned
PM26364516,PM26364516,PM26364516,PM26364516,PM26364516,,text_or_learned
PM27144973,PM27144973,PM27144973,PM27144973,PM27144973,,text_or_learned
PM27363983,PM27363983,PM27363983,PM27363983,PM27363983,,text_or_learned
PM27904739,PM27904739,PM27904739,PM27904739,PM27904739,,text_or_learned
PM28259284,PM28259284,PM28259284,PM28259284,PM28259284,,text_or_learned
PM28280600,PM28280600,PM28280600,PM28280600,PM28280600,,text_or_learned
PM29427592,PM29427592,PM29427592,PM29427592,PM29427592,,text_or_learned
PM29576375,PM29576375,PM29576375,PM29576375,PM29576375,,text_or_learned
PM29617360,PM29617360,PM29617360,PM29617360,PM29617360,,text_or_learned
PM29687231,PM29687231,PM29687231,PM29687231,PM29687231,,text_or_learned
PM29712568,PM29712568,PM29712568,PM29712568,PM29712568,,text_or_learned
PM3025856,PM3025856,PM3025856,PM3025856,PM3025856,,text_or_learned
PM30394809,PM30394809,PM30394809,PM30394809,PM30394809,,text_or_learned
PM30587557,PM30587557,PM30587557,PM30587557,PM30587557,,text_or_learned
PM30713784,PM30713784,PM30713784,PM30713784,PM30713784,,text_or_learned
PM31060469,PM31060469,PM31060469,PM31060469,PM31060469,,text_or_learned
PM3127726,PM3127726,PM3127726,PM3127726,PM3127726,,text_or_learned
PM31395688,PM31395688,PM31395688,PM31395688,PM31395688,,text_or_learned
PM31509254,PM31509254,PM31509254,PM31509254,PM31509254,,text_or_learned
PM31907434,PM31907434,PM31907434,PM31907434,PM31907434,,text_or_learned
PM31992476,PM31992476,PM31992476,PM31992476,PM31992476,,text_or_learned
PM32106752,PM32106752,PM32106752,PM32106752,PM32106752,,text_or_learned
PM32179633,PM32179633,PM32179633,PM32179633,PM32179633,,text_or_learned
PM32306208,PM32306208,PM32306208,PM32306208,PM32306208,,text_or_learned
PM32351164,PM32351164,PM32351164,PM32351164,PM32351164,,text_or_learned
PM32467569,PM32467569,PM32467569,PM32467569,PM32467569,,text_or_learned
PM32681519,PM32681519,PM32681519,PM32681519,PM32681519,,text_or_learned
PM32762583,PM32762583,PM32762583,PM32762583,PM32762583,,text_or_learned
PM32770720,PM32770720,PM32770720,PM32770720,PM32770720,,text_or_learned
PM32847983,PM32847983,PM32847983,PM32847983,PM32847983,,text_or_learned
PM32970735,PM32970735,PM32970735,PM32970735,PM32970735,,text_or_learned
PM32989552,PM32989552,PM32989552,PM32989552,PM32989552,,text_or_learned
PM32999002,PM32999002,PM32999002,PM32999002,PM32999002,,text_or_learned
PM33046518,PM33046518,PM33046518,PM33046518,PM33046518,,text_or_learned
PM33276076,PM33276076,PM33276076,PM33276076,PM33276076,,text_or_learned
PM33324564,PM33324564,PM33324564,PM33324564,PM33324564,,text_or_learned
PM33392713,PM33392713,PM33392713,PM33392713,PM33392713,,text_or_learned
PM33760397,PM33760397,PM33760397,PM33760397,PM33760397,,text_or_learned
PM33925565,PM33925565,PM33925565,PM33925565,PM33925565,,text_or_learned
PM33948686,PM33948686,PM33948686,PM33948686,PM33948686,,text_or_learned
PM34268711,PM34268711,PM34268711,PM34268711,PM34268711,,text_or_learned
PM34313545,PM34313545,PM34313545,PM34313545,PM34313545,,text_or_learned
PM34371366,PM34371366,PM34371366,PM34371366,PM34371366,,text_or_learned
PM34452745,PM34452745,PM34452745,PM34452745,PM34452745,,text_or_learned
PM34604074,PM34604074,PM34604074,PM34604074,PM34604074,,text_or_learned
PM34972111,PM34972111,PM34972111,PM34972111,PM34972111,,text_or_learned
PM35095833,PM35095833,PM35095833,PM35095833,PM35095833,,text_or_learned
PM35098616,PM35098616,PM35098616,PM35098616,PM35098616,,text_or_learned
PM35165868,PM35165868,PM35165868,PM35165868,PM35165868,,text_or_learned
PM35217575,PM35217575,PM35217575,PM35217575,PM35217575,,text_or_learned
PM35298699,PM35298699,PM35298699,PM35298699,PM35298699,,text_or_learned
PM35395951,PM35395951,PM35395951,PM35395951,PM35395951,,text_or_learned
PM35756842,PM35756842,PM35756842,PM35756842,PM35756842,,text_or_learned
