query_idx,mab,study_product,genes,n_specific,n_plausible,model_fraction,prior_fraction,enrichment,n_unmatched,status
57,imgt:mAb_743,imgt:StudyProduct_Xencor_Inc_Myelodysplastic_syndromes_(MDS)_743,CD33,18,6,0.3333,0.2936,1.1354,12,scored
58,imgt:mAb_736,imgt:StudyProduct_ZymeWorks_Inc_Cancers_ovarian_736,ERBB2,18,9,0.5,0.3983,1.2553,9,scored
59,imgt:mAb_431,imgt:StudyProduct_Seattle_genetics_Inc_Cancers_431,CD70,18,14,0.7778,0.5948,1.3077,4,scored
60,imgt:mAb_96,imgt:StudyProduct_Chugai_Pharmaceutical_Co_Ltd_Cytokine_Release_Syndrome_(CRS)_96,IL6R,18,6,0.3333,0.2629,1.2677,12,scored
61,imgt:mAb_159,imgt:StudyProduct_Peregrine_Pharmaceuticals_Inc_Non-Hodgkins_lymphoma_(NHL)_159,,,,,,,,no_target_or_ot
62,imgt:mAb_228,imgt:StudyProduct_Genmab_A/S_Hodgkin_lymphoma_228,IL2RA,18,10,0.5556,0.4172,1.3315,8,scored
63,imgt:mAb_1055,imgt:StudyProduct_Amgen_Acute_myeloid_leukemia_(AML)_1055,CD33;CD3E,18,14,0.7778,0.6594,1.1796,4,scored
64,imgt:mAb_469,imgt:StudyProduct_MedImmune_Glioblastoma_multiforme_(GBM)_469,PDGFRA,18,11,0.6111,0.5129,1.1914,7,scored
65,imgt:mAb_125,imgt:StudyProduct_Immunomedics_Inc_Non-Hodgkins_lymphoma_(NHL)_125,CD22,18,6,0.3333,0.3494,0.954,12,scored
66,imgt:mAb_473,imgt:StudyProduct_MacroGenics_Inc_Solid_tumors_473,ERBB2,18,8,0.4444,0.3855,1.153,10,scored
67,imgt:mAb_331,imgt:StudyProduct_Acceleron_Pharma_Inc_Myelodysplastic_syndromes_(MDS)_331,INHBA,18,7,0.3889,0.3331,1.1675,11,scored
68,imgt:mAb_365,imgt:StudyProduct_ImClone_Systems_Inc_Cancers_colon_365,FLT1,18,9,0.5,0.4235,1.1805,9,scored
69,imgt:mAb_472,imgt:StudyProduct_Merck_&_Co_Inc_Multiple_myeloma_(MM)_472,PDCD1,18,11,0.6111,0.5976,1.0226,7,scored
70,imgt:mAb_1102,imgt:StudyProduct_Precision_Biosciences_Acute_lymphocytic_leukemia_(ALL)_1102,CD19,18,8,0.4444,0.3808,1.167,10,scored
71,imgt:mAb_531,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Cancers_prostate_531,STEAP1,18,12,0.6667,0.4399,1.5155,6,scored
72,imgt:mAb_161,imgt:StudyProduct_Biogen_Inc_Myasthenia_Gravis_(MG)_161,MS4A1,18,9,0.5,0.4398,1.137,9,scored
73,imgt:mAb_151,imgt:StudyProduct_ImClone_Systems_Inc_Cancers_colorectal_(CRC)_metastatic_151,EGFR,18,10,0.5556,0.4685,1.1859,8,scored
74,imgt:mAb_96,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Rheumatoid_arthritis_(RA)_96,IL6R,18,5,0.2778,0.2643,1.0509,13,scored
75,imgt:mAb_771,imgt:StudyProduct_Merus_NV_Solid_tumors_771,ERBB2;ERBB3,18,11,0.6111,0.4193,1.4574,7,scored
76,imgt:mAb_164,imgt:StudyProduct_Micromet_AG_Cancers_prostate_164,EPCAM,18,9,0.5,0.4348,1.15,9,scored
77,imgt:mAb_203,imgt:StudyProduct_National_Cancer_Institute_Cancers_203,,,,,,,,no_target_or_ot
78,imgt:mAb_1259,imgt:StudyProduct_Celgene_corporation_Multiple_myeloma_(MM)_1259,TNFRSF17,18,14,0.7778,0.6524,1.1922,4,scored
79,imgt:mAb_11,imgt:StudyProduct_Berlex_Inc_Multiple_sclerosis_(MS)_11,CD52,18,10,0.5556,0.497,1.1177,8,scored
80,imgt:mAb_954,imgt:StudyProduct_Pfizer_Solid_tumors_954,TNFRSF4,18,14,0.7778,0.6171,1.2603,4,scored
81,imgt:mAb_859,imgt:StudyProduct_Innovent_Biologics_Solid_tumors_859,PDCD1,18,11,0.6111,0.5974,1.0229,7,scored
