model,trial,seed,lr,batch,neg,gamma,reg,regularizer,init_size,max_epochs,double_neg,valid_tail_mr,test_tail_mr,test_tail_mrr,test_h1,test_h3,test_h10
RotH,trial_068,7110,0.001,1024,32,0.0,0.0,F2,0.001,200,False,34.53156280517578,47.99663162231445,0.2448965311050415,0.14814814925193787,0.24242424964904785,0.47138047218322754
RotH,trial_069,7111,0.003,512,128,0.0,0.0,N3,0.001,200,True,35.6445198059082,35.356903076171875,0.20654815435409546,0.10101009905338287,0.19528619945049286,0.4276094138622284
RotH,trial_070,7112,0.003,1024,64,0.0,1e-06,N3,0.005,200,False,35.72425079345703,43.707069396972656,0.2686377763748169,0.1750841736793518,0.2626262605190277,0.49494948983192444
RotH,trial_071,7113,0.003,512,32,0.0,0.0,F2,0.001,200,True,48.053157806396484,52.898990631103516,0.15929175913333893,0.06397306174039841,0.18855218589305878,0.3030303120613098
RotH,trial_072,7114,0.0003,256,128,12.0,0.0,F2,0.005,200,True,36.45515060424805,34.28282928466797,0.20532988011837006,0.11447811126708984,0.1986531913280487,0.4107744097709656
RotH,trial_073,7115,0.003,512,64,12.0,1e-06,N3,0.005,200,False,155.39866638183594,159.65992736816406,0.2683855891227722,0.1818181872367859,0.2794612646102905,0.44781145453453064
RotH,trial_074,7116,0.003,512,64,12.0,1e-05,N3,0.001,200,True,52.069766998291016,51.60606002807617,0.16124500334262848,0.09764309972524643,0.16161616146564484,0.2693602740764618
RotH,trial_075,7117,0.001,512,32,12.0,0.0,F2,0.001,200,False,37.85382080078125,66.83164978027344,0.28154873847961426,0.17845118045806885,0.29629629850387573,0.5117844939231873
RotH,trial_076,7118,0.003,512,128,12.0,0.0,F2,0.001,200,False,30.159467697143555,51.727272033691406,0.2813912332057953,0.18518517911434174,0.2760942876338959,0.49494948983192444
RotH,trial_077,7119,0.001,1024,32,12.0,1e-06,F2,0.005,200,False,35.43853759765625,73.88215637207031,0.2958633303642273,0.18855218589305878,0.30639731884002686,0.5286195278167725
RotH,trial_078,7120,0.0003,512,64,6.0,1e-05,N3,0.005,200,False,779.9767456054688,656.6060791015625,0.278463751077652,0.17845118045806885,0.28956228494644165,0.5252525210380554
RotH,trial_079,7121,0.0003,512,32,6.0,1e-05,N3,0.005,200,True,39.26578140258789,38.643096923828125,0.21925649046897888,0.13131313025951385,0.21885521709918976,0.41750842332839966
RotH,trial_080,7122,0.001,1024,32,0.0,0.0,F2,0.001,200,True,48.84385299682617,52.09090805053711,0.23610910773277283,0.12457912415266037,0.24242424964904785,0.48821547627449036
RotH,trial_082,7124,0.0003,1024,64,12.0,0.0,N3,0.005,200,True,422.923583984375,378.8316650390625,0.15772683918476105,0.03030303120613098,0.16161616146564484,0.4915824830532074
RotH,trial_083,7125,0.0003,256,32,0.0,1e-06,F2,0.005,200,True,38.69767379760742,34.838382720947266,0.227570578455925,0.14478114247322083,0.2222222238779068,0.3973063826560974
RotH,trial_085,7127,0.003,512,128,6.0,1e-06,F2,0.001,200,False,48.8770751953125,138.59259033203125,0.25633081793785095,0.1750841736793518,0.25589224696159363,0.41750842332839966
RotH,trial_086,7128,0.001,512,128,0.0,1e-06,F2,0.005,200,False,41.312294006347656,58.73064041137695,0.258426308631897,0.1515151560306549,0.27272728085517883,0.5117844939231873
RotH,trial_088,7130,0.003,512,32,0.0,1e-06,F2,0.001,200,False,33.538204193115234,45.2895622253418,0.2648756802082062,0.16161616146564484,0.2626262605190277,0.4781144857406616
RotH,trial_089,7131,0.001,512,32,6.0,1e-06,N3,0.001,200,True,47.87375259399414,45.97643280029297,0.27302175760269165,0.16498316824436188,0.2693602740764618,0.5218855142593384
RotH,trial_091,7133,0.0003,1024,128,6.0,0.0,N3,0.001,200,False,550.7142944335938,444.63299560546875,0.2827188968658447,0.17845118045806885,0.2929292917251587,0.5252525210380554
RotH,trial_092,7134,0.001,1024,128,6.0,1e-06,N3,0.005,200,False,566.5814208984375,492.8787841796875,0.28494152426719666,0.17845118045806885,0.28956228494644165,0.5084174871444702
RotH,trial_094,7136,0.003,512,64,12.0,1e-06,F2,0.005,200,True,39.073089599609375,38.82491683959961,0.22368164360523224,0.1346801370382309,0.21548821032047272,0.44107744097709656
RotH,trial_095,7137,0.003,512,128,0.0,0.0,F2,0.001,200,False,34.17275619506836,46.32659912109375,0.28471237421035767,0.19528619945049286,0.28956228494644165,0.4781144857406616
RotH,trial_097,7139,0.003,512,32,0.0,0.0,N3,0.005,200,False,44.906978607177734,49.79124450683594,0.22798025608062744,0.16161616146564484,0.21885521709918976,0.34343433380126953
RotH,trial_100,7142,0.0003,1024,32,0.0,1e-06,N3,0.005,200,True,37.358802795410156,36.95286178588867,0.23879078030586243,0.1515151560306549,0.2525252401828766,0.4040403962135315
RotH,trial_102,7144,0.003,512,128,6.0,1e-06,F2,0.005,200,True,32.774085998535156,38.19865417480469,0.299481064081192,0.18518517911434174,0.3265993297100067,0.5521885752677917
RotH,trial_103,7145,0.001,1024,64,12.0,1e-06,N3,0.005,200,False,37.073089599609375,58.11111068725586,0.2473416030406952,0.14814814925193787,0.23569023609161377,0.47138047218322754
RotH,trial_104,7146,0.0003,256,64,12.0,0.0,N3,0.001,200,False,293.0099792480469,286.4545593261719,0.2899252772331238,0.1750841736793518,0.31313130259513855,0.5218855142593384
RotH,trial_106,7148,0.001,512,64,6.0,0.0,F2,0.005,200,False,311.0265808105469,270.81146240234375,0.2890925407409668,0.1818181872367859,0.3164983093738556,0.5185185074806213
TransE,trial_000,1042,0.001,2048,64,12.0,0.0,F2,0.001,200,False,62.73421859741211,63.191917419433594,0.15432867407798767,0.0,0.20202019810676575,0.4545454680919647
TransE,trial_001,1043,0.003,256,128,12.0,1e-06,F2,0.001,200,False,38.538204193115234,37.53535461425781,0.21398083865642548,0.0875420868396759,0.24915824830532074,0.47138047218322754
TransE,trial_002,1044,0.0003,512,128,12.0,1e-06,F2,0.005,200,True,28.64784049987793,36.66666793823242,0.29294508695602417,0.18518517911434174,0.2996633052825928,0.558922529220581
TransE,trial_003,1045,0.0003,256,32,0.0,1e-06,N3,0.001,200,True,350.84716796875,292.0101013183594,0.2828950583934784,0.17845118045806885,0.2929292917251587,0.5117844939231873
TransE,trial_004,1046,0.001,512,64,6.0,0.0,F2,0.001,200,True,25.259136199951172,34.441078186035156,0.3123715817928314,0.19528619945049286,0.3468013405799866,0.5824915766716003
TransE,trial_005,1047,0.001,512,128,12.0,0.0,F2,0.005,200,True,230.7176055908203,199.3468017578125,0.20140105485916138,0.05387205258011818,0.2457912415266037,0.4915824830532074
TransE,trial_006,1048,0.0003,256,64,6.0,1e-06,F2,0.001,200,False,462.584716796875,412.16497802734375,0.2786705195903778,0.17845118045806885,0.28282827138900757,0.5084174871444702
TransE,trial_007,1049,0.0003,512,32,12.0,0.0,N3,0.001,200,False,32.23255920410156,46.54545593261719,0.27580350637435913,0.16835017502307892,0.2794612646102905,0.5218855142593384
TransE,trial_008,1050,0.001,1024,32,12.0,1e-06,N3,0.005,200,True,670.2890625,501.14141845703125,0.1668487787246704,0.0,0.23569023609161377,0.48148149251937866
TransE,trial_009,1051,0.001,512,32,0.0,0.0,N3,0.005,200,False,118.3687744140625,122.10437774658203,0.29745396971702576,0.1818181872367859,0.31986531615257263,0.5319865345954895
TransE,trial_010,1052,0.0003,256,32,0.0,1e-06,N3,0.005,200,True,332.8006591796875,307.9427490234375,0.2851565182209015,0.17845118045806885,0.3030303120613098,0.5016834735870361
TransE,trial_011,1053,0.0003,512,128,12.0,1e-06,F2,0.005,200,True,30.172758102416992,49.6700325012207,0.2835080921649933,0.16498316824436188,0.30639731884002686,0.5521885752677917
TransE,trial_012,1054,0.003,1024,32,12.0,1e-05,F2,0.005,200,True,32.196014404296875,30.356903076171875,0.27124422788619995,0.17845118045806885,0.2693602740764618,0.4983164966106415
TransE,trial_013,1055,0.003,512,32,6.0,1e-05,F2,0.001,200,False,51.249168395996094,67.45454406738281,0.1634359508752823,0.0,0.21548821032047272,0.4781144857406616
TransE,trial_014,1056,0.001,1024,128,6.0,1e-05,N3,0.005,200,True,861.906982421875,589.2120971679688,0.16395382583141327,0.0,0.2457912415266037,0.48148149251937866
TransE,trial_015,1057,0.0003,512,128,6.0,1e-05,F2,0.005,200,True,2468.348876953125,2216.71044921875,0.06788500398397446,0.0,0.1111111119389534,0.1750841736793518
TransE,trial_016,1058,0.0003,1024,128,12.0,0.0,F2,0.001,200,True,30.53156089782715,45.39057159423828,0.28974780440330505,0.1750841736793518,0.3164983093738556,0.5454545617103577
TransE,trial_017,1059,0.003,1024,64,6.0,0.0,F2,0.001,200,True,31.777408599853516,47.25925827026367,0.28197506070137024,0.17171716690063477,0.27272728085517883,0.5488215684890747
TransE,trial_018,1060,0.003,256,128,6.0,0.0,F2,0.001,200,False,32.3089714050293,53.306396484375,0.2738073170185089,0.16161616146564484,0.2929292917251587,0.5286195278167725
TransE,trial_019,1061,0.0003,256,32,0.0,0.0,N3,0.005,200,True,32.20930099487305,46.78114318847656,0.277400940656662,0.16498316824436188,0.27272728085517883,0.5521885752677917
TransE,trial_020,1062,0.003,1024,32,12.0,0.0,F2,0.001,200,True,32.57143020629883,51.969696044921875,0.26924607157707214,0.15488214790821075,0.2929292917251587,0.5185185074806213
